scheduled_date,scheduled_time_ET,platform,article_slug,post_text,hashtags,article_url
2026-05-18,11:00,Instagram,d-day-oral-histories,"The first 60 minutes on Omaha Beach were pure chaos. Soldiers' own words describe the terror, courage, and sacrifice of D-Day's bloodiest landing. Their stories deserve to be heard. Read the full story at HistoryNews [link in bio]","#DDay #OmahaBeach #WWII #WorldWarII #OralHistory #HistoryNews #NeverForget #MilitaryHistory #Veterans #JuneThe6th #WarHistory",historynews.example.com/articles/d-day-oral-histories
2026-05-18,13:00,Facebook,d-day-oral-histories,"'The ramp went down and the entire front row was killed.' These are the words of soldiers who survived Omaha Beach on D-Day. Their first 60 minutes on that beach were the longest of their lives. Have you ever heard a veteran's firsthand account of D-Day? Read more: historynews.example.com/articles/d-day-oral-histories","#DDay #WWII #HistoryNews #OmahaBeach #NeverForget",historynews.example.com/articles/d-day-oral-histories
2026-05-18,19:00,TikTok,d-day-oral-histories,"The first 60 minutes on Omaha Beach. In the soldiers' own words. This will give you chills.","#DDay #OmahaBeach #WWII #HistoryTok #LearnOnTikTok #HistoryNews #MilitaryHistory #NeverForget",historynews.example.com/articles/d-day-oral-histories
2026-05-19,11:00,Instagram,bataan-death-march,"April 1942. 75,000 American and Filipino soldiers forced to march 65 miles through the Philippine jungle. Thousands died from exhaustion, disease, and execution. The Bataan Death March remains one of WWII's worst atrocities. Read the full story at HistoryNews [link in bio]","#BataanDeathMarch #WWII #Philippines #MilitaryHistory #NeverForget #HistoryNews #WarCrimes #WorldWarII #AmericanHistory #PacificWar #Veterans",historynews.example.com/articles/bataan-death-march
2026-05-19,13:00,Facebook,bataan-death-march,"In April 1942, after the fall of Bataan, 75,000 American and Filipino prisoners of war were forced on a brutal 65-mile march. Thousands died along the way from starvation, disease, and violence. How do we honor the survivors' stories? Read more: historynews.example.com/articles/bataan-death-march","#BataanDeathMarch #WWII #MilitaryHistory #NeverForget #HistoryNews",historynews.example.com/articles/bataan-death-march
2026-05-19,19:00,TikTok,bataan-death-march,"75,000 soldiers. A 65-mile forced march through the jungle. Thousands didn't make it. The Bataan Death March is one of WWII's darkest chapters.","#BataanDeathMarch #WWII #HistoryTok #MilitaryHistory #NeverForget #PacificWar #DarkHistory",historynews.example.com/articles/bataan-death-march
2026-05-20,11:00,Instagram,tiananmen-square-tank-man,"June 5, 1989. One man stood in front of a column of tanks in Tiananmen Square. No one knows his name. No one knows his fate. But his image became the most powerful symbol of defiance in history. Read the full story at HistoryNews [link in bio]","#TankMan #TiananmenSquare #1989 #China #Protest #HistoryNews #Defiance #Freedom #HumanRights #IconicPhoto #WorldHistory #Democracy",historynews.example.com/articles/tiananmen-square-tank-man
2026-05-20,13:00,Facebook,tiananmen-square-tank-man,"On June 5, 1989, an unknown man stood alone before a column of tanks in Beijing. The photo became one of the most iconic images of the 20th century. His identity remains unknown. What do you think happened to Tank Man? Read more: historynews.example.com/articles/tiananmen-square-tank-man","#TankMan #TiananmenSquare #1989 #HumanRights #HistoryNews",historynews.example.com/articles/tiananmen-square-tank-man
2026-05-20,19:00,TikTok,tiananmen-square-tank-man,"One man. Four tanks. He just stood there. Nobody knows who he was or what happened to him. Tiananmen Square, 1989.","#TankMan #TiananmenSquare #1989 #HistoryTok #China #Protest #IconicPhoto",historynews.example.com/articles/tiananmen-square-tank-man
2026-05-21,11:00,Instagram,hiroshima-nagasaki,"August 6, 1945. A single bomb erased an entire city in seconds. Then, three days later, it happened again. Hiroshima and Nagasaki changed warfare — and humanity — forever. Read the full story at HistoryNews [link in bio]","#Hiroshima #Nagasaki #WWII #AtomicBomb #NuclearWeapons #HistoryNews #NeverForget #WorldWarII #Japan #1945 #WarHistory #PeaceMovement",historynews.example.com/articles/hiroshima-nagasaki
2026-05-21,13:00,Facebook,hiroshima-nagasaki,"On August 6, 1945, the United States dropped the first atomic bomb on Hiroshima. Three days later, a second bomb hit Nagasaki. Together, the two bombs killed over 200,000 people. Was this the right decision? Historians still debate it. Read more: historynews.example.com/articles/hiroshima-nagasaki","#Hiroshima #Nagasaki #AtomicBomb #WWII #HistoryNews",historynews.example.com/articles/hiroshima-nagasaki
2026-05-21,19:00,TikTok,hiroshima-nagasaki,"One bomb. One city. Gone in seconds. Then they did it again three days later. Hiroshima and Nagasaki changed everything.","#Hiroshima #Nagasaki #AtomicBomb #WWII #HistoryTok #NuclearWeapons #DarkHistory",historynews.example.com/articles/hiroshima-nagasaki
2026-05-22,11:00,Instagram,iwo-jima-flag-photo,"Six Marines. One flag. The most reproduced photograph in history. But three of those men never made it off the island. The real story behind the Iwo Jima flag raising is more complex than you think. Read the full story at HistoryNews [link in bio]","#IwoJima #FlagRaising #WWII #Marines #MilitaryHistory #HistoryNews #IconicPhoto #WorldWarII #USMC #PacificWar #Sacrifice #NeverForget",historynews.example.com/articles/iwo-jima-flag-photo
2026-05-22,13:00,Facebook,iwo-jima-flag-photo,"The Iwo Jima flag-raising photo is one of the most famous images ever taken. But three of the six men in the photo were killed in battle just days later. And the identities of the men have been debated for decades. What makes this photo so powerful? Read more: historynews.example.com/articles/iwo-jima-flag-photo","#IwoJima #WWII #Marines #IconicPhoto #HistoryNews",historynews.example.com/articles/iwo-jima-flag-photo
2026-05-22,19:00,TikTok,iwo-jima-flag-photo,"The most famous war photo ever taken. Six men raised a flag. Three of them died on that island days later.","#IwoJima #WWII #Marines #HistoryTok #IconicPhoto #MilitaryHistory #Sacrifice",historynews.example.com/articles/iwo-jima-flag-photo
2026-05-23,11:00,Instagram,nuremberg-trials,"'I was just following orders.' At Nuremberg, the world said that excuse is not enough. The trials that held Nazi war criminals accountable changed international law forever. Read the full story at HistoryNews [link in bio]","#NurembergTrials #WWII #WarCrimes #InternationalLaw #Justice #HistoryNews #Holocaust #NeverForget #HumanRights #WorldHistory #1945",historynews.example.com/articles/nuremberg-trials
2026-05-23,13:00,Facebook,nuremberg-trials,"After WWII, the world faced an impossible question: how do you put evil on trial? The Nuremberg Trials established that 'following orders' is no defense for atrocity. Do you think the trials delivered true justice? Read more: historynews.example.com/articles/nuremberg-trials","#NurembergTrials #WWII #Justice #InternationalLaw #HistoryNews",historynews.example.com/articles/nuremberg-trials
2026-05-23,19:00,TikTok,nuremberg-trials,"Nazi leaders said 'we were just following orders.' The world said that's not an excuse. The Nuremberg Trials changed law forever.","#NurembergTrials #WWII #WarCrimes #HistoryTok #Justice #InternationalLaw #NeverForget",historynews.example.com/articles/nuremberg-trials
2026-05-24,11:00,Instagram,apollo-11-mission,"400,000 people built it. 3 astronauts flew it. 600 million watched it. On July 20, 1969, Neil Armstrong stepped onto the Moon with 25 seconds of fuel left. Read the full story at HistoryNews [link in bio]","#Apollo11 #MoonLanding #NASA #NeilArmstrong #1969 #HistoryNews #SpaceHistory #OneGiantLeap #BuzzAldrin #SpaceExploration #AmericanHistory #Science",historynews.example.com/articles/apollo-11-mission
2026-05-24,13:00,Facebook,apollo-11-mission,"The lunar module had 25 seconds of fuel left when Armstrong landed. The planned landing site was covered in boulders, so he flew manually to a new spot. 600 million people were watching. No pressure. What moment in space exploration gives you chills? Read more: historynews.example.com/articles/apollo-11-mission","#Apollo11 #MoonLanding #NASA #SpaceHistory #HistoryNews",historynews.example.com/articles/apollo-11-mission
2026-05-24,19:00,TikTok,apollo-11-mission,"25 seconds of fuel. Boulders everywhere. Armstrong grabbed the controls and landed manually. 600 million people watched. No pressure.","#Apollo11 #MoonLanding #NASA #HistoryTok #SpaceHistory #NeilArmstrong #1969",historynews.example.com/articles/apollo-11-mission
2026-05-25,11:00,Instagram,uss-arizona-memorial,"1,177 sailors are still entombed inside the USS Arizona. The ship still leaks oil into Pearl Harbor — more than 80 years later. They call them 'black tears.' This Memorial Day, remember the men who never came home. Read the full story at HistoryNews [link in bio]","#USSArizona #PearlHarbor #MemorialDay #WWII #NeverForget #HistoryNews #MilitaryHistory #Remember #Sacrifice #Veterans #December7 #WorldWarII",historynews.example.com/articles/uss-arizona-memorial
2026-05-25,13:00,Facebook,uss-arizona-memorial,"23 sets of brothers died aboard the USS Arizona on December 7, 1941. The ship's entire 21-member band was lost — the only complete military band killed in action in U.S. history. More than 1,100 men remain entombed in the sunken ship to this day. This Memorial Day, who are you remembering? Read more: historynews.example.com/articles/uss-arizona-memorial","#USSArizona #PearlHarbor #MemorialDay #WWII #HistoryNews",historynews.example.com/articles/uss-arizona-memorial
