01-01	1863	tdih-01-01-01	Emancipation Proclamation Takes Effect	FREEDOM DAWNS: Lincoln's Emancipation Proclamation Frees Millions	On January 1, 1863, President Lincoln's Emancipation Proclamation took effect, declaring all enslaved persons in Confederate states to be free.	Civil War	Emancipation Proclamation
01-02	1492	tdih-01-02-01	Fall of Granada Ends Reconquista	RECONQUISTA COMPLETE: Last Moorish Kingdom Falls After 780 Years	On January 2, 1492, the Moorish kingdom of Granada surrendered, completing the 780-year Christian reconquest of the Iberian Peninsula.	Renaissance	Fall of Granada
01-03	1521	tdih-01-03-01	Martin Luther Excommunicated	CAST OUT: Pope Leo X Excommunicates Martin Luther from Catholic Church	On January 3, 1521, Pope Leo X issued the papal bull Decet Romanum Pontificem, excommunicating Martin Luther and launching the Protestant Reformation.	Renaissance	Decet Romanum Pontificem
01-04	1884	tdih-01-04-01	Fabian Society Founded	GRADUAL REVOLUTION: London Intellectuals Found the Fabian Society	On January 4, 1884, the Fabian Society was founded in London, advocating gradual democratic socialism and influencing the creation of the Labour Party.	Victorian Era	Fabian Society
01-05	1919	tdih-01-05-01	German Workers Party Founded	SEEDS OF EVIL: Small Political Party Founded That Hitler Will Transform Into the Nazi Party	On January 5, 1919, the German Workers Party was founded in Munich; Adolf Hitler would later join and transform it into the Nazi Party.	World War I Era	German Workers Party
01-06	1412	tdih-01-06-01	Birth of Joan of Arc	THE MAID IS BORN: Joan of Arc Born in Domremy, France	On January 6, 1412, Joan of Arc was born in Domremy, France; she would lead French armies to victory before being burned at the stake at age 19.	Medieval	Joan of Arc
01-07	1610	tdih-01-07-01	Galileo Discovers Jupiter's Moons	WORLDS REVEALED: Galileo Spots Four Moons Orbiting Jupiter Through His Telescope	On January 7, 1610, Galileo Galilei observed three of Jupiter's four largest moons through his telescope, providing evidence for the Copernican model.	Renaissance	Galilean moons
01-08	1790	tdih-01-08-01	First State of the Union Address	MR. PRESIDENT SPEAKS: Washington Delivers First Annual Message to Congress	On January 8, 1790, George Washington delivered the first State of the Union address to a joint session of Congress in New York City.	18th Century	State of the Union
01-09	1799	tdih-01-09-01	Income Tax Introduced in Britain	PAYING THE PRICE: Pitt Introduces Britain's First Income Tax to Fund Napoleonic Wars	On January 9, 1799, British Prime Minister William Pitt the Younger introduced the first income tax to raise funds for the war against Napoleon.	18th Century	Income tax in the United Kingdom
01-10	49	tdih-01-10-01	Caesar Crosses the Rubicon	THE DIE IS CAST: Julius Caesar Crosses the Rubicon River, Starting Civil War	On January 10, 49 BC, Julius Caesar led his army across the Rubicon River into Italy, defying the Roman Senate and igniting a civil war.	Ancient World	Crossing the Rubicon
01-11	1922	tdih-01-11-01	First Insulin Treatment	DIABETES CONQUERED: 14-Year-Old Leonard Thompson Receives First Insulin Injection	On January 11, 1922, Leonard Thompson, a 14-year-old diabetic, became the first person to receive an insulin injection, transforming a death sentence into a manageable condition.	Early 20th Century	Insulin
01-12	1932	tdih-01-12-01	Hattie Caraway Elected to US Senate	BREAKING THE BARRIER: First Woman Elected to the United States Senate	On January 12, 1932, Hattie Caraway of Arkansas became the first woman elected to the United States Senate.	Great Depression	Hattie Caraway
01-13	1898	tdih-01-13-01	Emile Zola Publishes J'accuse	I ACCUSE: Zola's Open Letter Exposes French Military's Anti-Semitic Cover-Up	On January 13, 1898, Emile Zola published his famous open letter J'accuse in defense of Alfred Dreyfus, exposing a massive French military conspiracy.	Victorian Era	J'accuse…!
01-14	1761	tdih-01-14-01	Third Battle of Panipat	EMPIRE SHATTERED: Marathas Suffer Devastating Defeat at Panipat	On January 14, 1761, the Maratha Empire suffered a catastrophic defeat at the Third Battle of Panipat, reshaping the political landscape of India.	18th Century	Third Battle of Panipat
