article_slug,platform,post_text,hashtags
jack-the-ripper,Instagram,"London, 1888. A killer stalked the fog-choked streets of Whitechapel, and no one could stop him. Over a century later, we still don't know his name. Read the full story at HistoryNews [link in bio]","#JackTheRipper #Whitechapel #VictorianLondon #TrueCrime #UnsolvedMysteries #HistoryNews #1888 #ColdCase #BritishHistory #CriminalHistory"
jack-the-ripper,Facebook,"Who was Jack the Ripper? In 1888, a series of brutal murders terrorized London's East End — and despite one of the largest investigations in British history, the killer was never caught. What's your theory on the Ripper's identity? Read more: historynews.example.com/articles/jack-the-ripper","#JackTheRipper #UnsolvedMysteries #TrueCrime #VictorianHistory #HistoryNews"
jack-the-ripper,TikTok,"A serial killer terrorized London in 1888. Police never caught him. We still don't know who Jack the Ripper was. 🔪","#JackTheRipper #TrueCrime #UnsolvedMystery #Whitechapel #HistoryTok #DarkHistory #1888"
japanese-internment-order-9066,Instagram,"One executive order. 120,000 lives uprooted. In 1942, the U.S. government forced Japanese Americans into internment camps — citizens included. A dark chapter we must never forget. Read the full story at HistoryNews [link in bio]","#JapaneseInternment #Order9066 #WWII #CivilRights #NeverForget #AmericanHistory #HistoryNews #HumanRights #SocialJustice #AsianAmericanHistory"
japanese-internment-order-9066,Facebook,"Did you know that in 1942, a single presidential signature imprisoned 120,000 Japanese Americans — most of them U.S. citizens? Executive Order 9066 remains one of the most controversial acts in American history. How do we prevent something like this from happening again? Read more: historynews.example.com/articles/japanese-internment-order-9066","#JapaneseInternment #CivilRights #WWII #AmericanHistory #NeverAgain"
japanese-internment-order-9066,TikTok,"One signature. 120,000 Americans locked up. Not for crimes — for their heritage. Executive Order 9066 changed everything.","#JapaneseInternment #Order9066 #WWII #HistoryTok #CivilRights #DarkHistory #AmericanHistory"
jfk-assassination-photos,Instagram,"November 22, 1963. Dallas, Texas. The cameras were rolling when President Kennedy was shot. These photographers captured history's most devastating moment — and their images changed journalism forever. Read the full story at HistoryNews [link in bio]","#JFK #JFKAssassination #Dallas1963 #PresidentKennedy #Photojournalism #HistoryNews #AmericanHistory #1963 #ColdWarEra #HistoricPhotos"
jfk-assassination-photos,Facebook,"What would it be like to have your camera raised at the exact moment a president was assassinated? On November 22, 1963, several photographers in Dallas captured images that would haunt the world. Who do you think took the most impactful photo that day? Read more: historynews.example.com/articles/jfk-assassination-photos","#JFK #Photojournalism #AmericanHistory #Dallas1963 #HistoryNews"
jfk-assassination-photos,TikTok,"Photographers were RIGHT THERE when JFK was shot. Their cameras caught everything. These images changed history forever.","#JFK #JFKAssassination #Photojournalism #HistoryTok #1963 #Dallas #AmericanHistory"
johnstown-flood,Instagram,"May 31, 1889. A dam failed above Johnstown, Pennsylvania. A 40-foot wall of water obliterated an entire city in minutes, killing over 2,200 people. It was America's deadliest flood. Read the full story at HistoryNews [link in bio]","#JohnstownFlood #1889 #NaturalDisaster #Pennsylvania #AmericanHistory #HistoryNews #DamFailure #Tragedy #FloodHistory #DisasterHistory"
